piano;piano2;reed;guitar;pluckedguitar;bass;;;;;
C3;;;;;;;;;0x00;amber
D3;;;;;;;;;0x01;amber
E3;;;;;;;;;0x02;amber
F3;;;;;;;;;0x03;amber
G3;;;;;;;;;0x04;amber
A3;;;;;;;;;0x05;amber
B3;;;;;;;;;0x06;amber
C4;;;;;;;;;0x07;amber
;C3;;;;;;;;0x10;orange
;D3;;;;;;;;0x11;orange
;E3;;;;;;;;0x12;orange
;F3;;;;;;;;0x13;orange
;G3;;;;;;;;0x14;orange
;A3;;;;;;;;0x15;orange
;B3;;;;;;;;0x16;orange
;C4;;;;;;;;0x17;orange
;;C3;;;;;;;0x20;red
;;D3;;;;;;;0x21;red
;;E3;;;;;;;0x22;red
;;F3;;;;;;;0x23;red
;;G3;;;;;;;0x24;red
;;A3;;;;;;;0x25;red
;;B3;;;;;;;0x26;red
;;C4;;;;;;;0x27;red
;;;C3;;;;;;0x30;yellow
;;;D3;;;;;;0x31;yellow
;;;E3;;;;;;0x32;yellow
;;;F3;;;;;;0x33;yellow
;;;G3;;;;;;0x34;yellow
;;;A3;;;;;;0x35;yellow
;;;B3;;;;;;0x36;yellow
;;;C4;;;;;;0x37;yellow
;;;;C3;;;;;0x40;amber
;;;;D3;;;;;0x41;amber
;;;;E3;;;;;0x42;amber
;;;;F3;;;;;0x43;amber
;;;;G3;;;;;0x44;amber
;;;;A3;;;;;0x45;amber
;;;;B3;;;;;0x46;amber
;;;;C4;;;;;0x47;amber
;;;;;C3;;;;0x50;orange
;;;;;D3;;;;0x51;orange
;;;;;E3;;;;0x52;orange
;;;;;F3;;;;0x53;orange
;;;;;G3;;;;0x54;orange
;;;;;A3;;;;0x55;orange
;;;;;B3;;;;0x56;orange
;;;;;C4;;;;0x57;orange
