piano;piano;piano;piano;;
D4;F4;A4;;0x00;red
D4;G4;Bb4;;0x01;yellow
D4;F4;Bb4;;0x02;amber
C#4;E4;A4;;0x03;orange
D4;F4;A4;;0x00;red
D4;G4;Bb4;;0x01;yellow
D4;F4;Bb4;;0x02;amber
C#4;E4;A4;;0x03;orange
D4;F4;A4;;0x00;red
D4;G4;Bb4;;0x01;yellow
D4;F4;Bb4;;0x02;amber
C#4;E4;A4;;0x03;orange
D4;F4;A4;;0x00;red
D4;G4;Bb4;;0x01;yellow
D4;F4;Bb4;;0x02;amber
C#4;E4;A4;;0x03;orange
D4;F4;A4;;0x00;red
D4;G4;Bb4;;0x01;yellow
D4;F4;Bb4;;0x02;amber
C#4;E4;A4;;0x03;orange
D4;F4;A4;;0x00;red
D4;G4;Bb4;;0x01;yellow
D4;F4;Bb4;;0x02;amber
C#4;E4;A4;;0x03;orange
D4;F4;A4;;0x00;red
D4;G4;Bb4;;0x01;yellow
D4;F4;Bb4;;0x02;amber
C#4;E4;A4;;0x03;orange
D4;F4;A4;;0x00;red
D4;G4;Bb4;;0x01;yellow
D4;F4;Bb4;;0x02;amber
C#4;E4;A4;;0x03;orange
D4;F4;A4;;0x00;red
D4;G4;Bb4;;0x01;yellow
D4;F4;Bb4;;0x02;amber
C#4;E4;A4;;0x03;orange
D4;F4;A4;;0x00;red
D4;G4;Bb4;;0x01;yellow
D4;F4;Bb4;;0x02;amber
C#4;E4;A4;;0x03;orange
F2;A2;D3;;0x10;red
F2;Bb2;D3;;0x11;yellow
F2;A2;C3;;0x12;amber
A2;C#3;E3;;0x13;orange
F2;A2;D3;;0x10;red
F2;Bb2;D3;;0x11;yellow
F2;A2;C3;;0x12;amber
A2;C#3;E3;;0x13;orange
A2;C#3;E3;G3;0x17;orange
D4;F4;A4;;0x00;red
D4;G4;Bb4;;0x01;yellow
D4;F4;Bb4;;0x02;amber
C#4;E4;A4;;0x03;orange
D4;F4;A4;;0x00;red
D4;G4;Bb4;;0x01;yellow
D4;F4;Bb4;;0x02;amber
C#4;E4;A4;;0x03;orange
D4;F4;A4;;0x07;red
